proper_leadoff,run_production_cascade,penalty
0,0.005,0.005
0,0.01,0.01
0,0.012,0.012
0,0.013,0.013
0,0.014,0.014
0,0.015,0.015
0,0.016,0.016
0,0.017,0.017
0,0.018,0.018
0,0.019,0.019
0,0.02,0.02
0,0.021,0.021
0,0.022,0.022
0,0.023,0.023
0,0.024,0.024
0,0.025,0.025
0,0.026,0.026
0,0.027,0.027
0,0.028,0.028
0,0.029,0.029
0,0.03,0.03
0,0.031,0.031
0,0.032,0.032
0,0.033,0.033
0,0.034,0.034
0,0.035,0.035
0,0.036,0.036
0,0.037,0.037
0,0.038,0.038
0,0.039,0.039
0,0.04,0.04
0,0.041,0.041
0,0.042,0.042
0,0.043,0.043
0,0.044,0.044
0,0.045,0.045
0,0.046,0.046
0,0.047,0.047
0,0.048,0.048
0,0.049,0.049
0,0.05,0.05
0,0.051,0.051
0,0.052,0.052
0,0.053,0.053
0,0.054,0.054
0,0.055,0.055
0,0.056,0.056
0,0.057,0.057
0,0.058,0.058
0,0.059,0.059
0,0.06,0.06
0,0.061,0.061
0,0.062,0.062
0,0.063,0.063
0,0.064,0.064
0,0.065,0.065
0,0.066,0.066
0,0.067,0.067
0,0.069,0.069
0,0.07,0.07
0,0.071,0.071
0,0.072,0.072
0,0.073,0.073
0,0.074,0.074
0,0.075,0.075
0,0.076,0.076
0,0.079,0.079
0,0.081,0.081
1,0.014,1.014
1,0.016,1.016
1,0.017,1.017
1,0.019,1.019
1,0.02,1.02
1,0.021,1.021
1,0.022,1.022
1,0.023,1.023
1,0.025,1.025
1,0.026,1.026
1,0.027,1.027
1,0.029,1.029
1,0.031,1.031
1,0.032,1.032
1,0.036,1.036
1,0.037,1.037
1,0.04,1.04
1,0.042,1.042
1,0.043,1.043
1,0.044,1.044
1,0.049,1.049
1,0.05,1.05
1,0.051,1.051
1,0.052,1.052
1,0.055,1.055
1,0.057,1.057
1,0.06,1.06
1,0.061,1.061
